CovidenceID,Title,PaperType,Region,Scale,Nexus,NChallenge,Gov,Policy,Actors,CrossCut
#2606,Tackling complexity: Understanding the food-energy-environment nexus in Ethiopia's lake TANA sub-basin,Empirical; Modelling,Sub-Saharan Africa,Subnational >100 km² (watershed),Biodiversity; Climate change; Food,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,Legal and Regulatory Instruments,Civil Society; Academia; Governments,Energy
#2605,The New York Bight 25years later: Use impairments and policy challenges,Review; Conceptual/theoretical,Northern America,Subnational >100 km² (watershed),Biodiversity; Health; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments; Economic and Financial Instruments; Other,Civil Society; Academia; Governments,Economic growth; Employment; Other
#2604,Experiences with adopting the catchment approach in sustainable land management: The case of kagera TAMP Tanzania,Perspective,Sub-Saharan Africa,"Regional (multiple countries, whole continents)",Biodiversity; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,NA,Funders; Multilateral Organisations; Governments,Equity
#2602,Implementing climate variability at the community level in the Amazon floodplain,Empirical,Latin America and the Caribbean,Local >1 km² to 100 km² (neighbourhood to municipality),Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Community Governance,Legal and Regulatory Instruments,Civil Society; NGOs; Regional Organisations; Governments,Indigenous values and knowledge
#2601,Socioeconomic and policy considerations in the adoption of agroforestry systems: An ecosystem-based adaptive governance approach,Review,Sub-Saharan Africa,National (whole country),Biodiversity; Climate change; Food,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments,Civil Society; Academia; Multilateral Organisations; Governments,Poverty
#2599,Diverse policies leading to contrasting impacts on land cover and ecosystem services in Northeast China,Modelling,Southern Asia,Subnational >100 km² (watershed),Biodiversity; Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,Legal and Regulatory Instruments; Economic and Financial Instruments,Civil Society; Governments,NA
#2598,Ecological restoration is not sufficient for reconciling the trade-off between soil retention and water yield: A contrasting study from catchment governance perspective,Modelling,Eastern Asia,Subnational >100 km² (watershed),Biodiversity; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,Legal and Regulatory Instruments; Economic and Financial Instruments,Civil Society; Academia; Governments,Other: Soil (erosion)
#2597,Site-specific framework of sustainable practices for a Brazilian contaminated site case study,Review; Conceptual/theoretical,Latin America and the Caribbean,Local >1 km² to 100 km² (neighbourhood to municipality),Biodiversity; Health; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Community Governance,NA,Academia; Governments,NA
#2596,"Ecosystem Services Valuation for the Sustainable Land Use Management by Nature-Based Solution (NbS) in the Common Agricultural Policy Actions: A Case Study on the Foglia River Basin (Marche Region, Italy)",Modelling,Southern Europe,Subnational >100 km² (watershed),Biodiversity; Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,Legal and Regulatory Instruments; Economic and Financial Instruments,Civil Society; Regional Organisations; Multilateral Organisations; Governments,NA
#2595,Sustainability and efficiency analysis w.r.t adoption of climate-smart agriculture (CSA) in Pakistan: a group-wise comparison of adopters and conventional farmers,Empirical; Modelling,Southern Asia,Local >1 km² to 100 km² (neighbourhood to municipality),Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,NA,Media; Civil Society,NA
#726,Why food in health security (FIHS)?,Review,Eastern Asia; South-eastern Asia; Southern Asia; Australia and New Zealand,"Regional (multiple countries, whole continents)",Health; Food,NA,NA,NA,NA,Equity; Poverty; Economic growth; Employment; Indigenous values and knowledge
#703,Perspectives on environmental management and technology in Asian river basins,Review; Other: Book,Central Asia; Eastern Asia; South-eastern Asia; Southern Asia; Western Asia,Not applicable (no specific spatial location),Biodiversity; Climate change; Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Hierarchical Governance; Market Governance; Network Governance,Legal and Regulatory Instruments,Private; Civil Society; Academia; IPLCs; NGOs; Governments,Economic growth; Education; Energy
#699,"Can Earth system interactions be governed? Governance functions for linking climate change mitigation with land use, freshwater and biodiversity protection",Conceptual/theoretical,Eastern Europe;  Northern Europe; Western Europe,"Regional (multiple countries, whole continents)",Biodiversity; Climate change; Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance,Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,Private; Funders; Civil Society; Academia; NGOs; Regional Organisations; Multilateral Organisations; Governments,NA
#695,"Reprint of ""Can Earth system interactions be governed? Governance functions for linking climate change mitigation with land use, freshwater and biodiversity protection""",Conceptual/theoretical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),"Network Governance; Other: cognitive modes of governance,",Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,Private; Civil Society; Academia; NGOs; Regional Organisations; Multilateral Organisations; Governments,Equity; Indigenous values and knowledge
#689,A scalable approach towards realizing tangible benefits in transboundary river basins and regions,Conceptual/theoretical; Other: Book chapter,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Market Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Governments,Energy
#681,The energy-security-climate-change nexus in Brazil,Perspective; Conceptual/theoretical,Latin America and the Caribbean,National (whole country),Biodiversity; Climate change,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms; Economic and Financial Instruments,Private; Governments; Other: Industry,Economic growth; Energy
#647,Recasting payments for ecosystem services (PES) in water resource management: A novel institutional approach,Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate change; Water,"Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Other: In what ways is human well-being dependent on the resiliency of ecosystem services, particularly for achieving social equality in terms of human capabilities?",Other: Nested governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Governments,Equity; Poverty; Other: Land
#645,"Agriculture, health, and wealth convergence: Bridging traditional food systems and modern agribusiness solutions",Other: Introduction to a special feature,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Health; Food,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Community Governance,Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,Private; Civil Society; Academia; NGOs; Multilateral Organisations; Governments,NA
#642,"Towards a Managed Aquifer Recharge strategy for Gujarat, India: An economist's dialogue with hydro-geologists",Empirical,Southern Asia,Subnational >100 km² (watershed),Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Hierarchical Governance,Legal and Regulatory Instruments,Civil Society; Governments; Other: Specialized taskforce composed by hydro-geologists and irrigation engineers to conduct the study evaluated.,Energy
#641,The rise and implications of the water-energy-food nexus in Southeast Asia through an environmental justice lens,Review,South-eastern Asia,"Regional (multiple countries, whole continents)",Biodiversity; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,NA,Funders; Civil Society; Academia; NGOs; Multilateral Organisations; Governments,Equity; Energy
#640,Water governance in a comparative perspective: From IWRM to a 'nexus' approach?,Review; Perspective,Southern Asia; Western Europe,National (whole country),Climate change; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Hierarchical Governance; Network Governance; Other:  Integrated Water Resources Management (IWRM), Multi-level Governance",Legal and Regulatory Instruments; Economic and Financial Instruments,Private; NGOs; Governments,Equity; Poverty; Energy; Other: gender
#635,Stakeholder dynamics in the EU forest energy sector: Key issues to manage and ways forward,Review; Empirical,Eastern Europe;  Northern Europe; Southern Europe; Western Europe,"Regional (multiple countries, whole continents)",Biodiversity; Climate change,"Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Other: Stakeholders attitutudes, priorities and concerns",NA,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Academia; NGOs; Regional Organisations; Multilateral Organisations; Governments,Energy; Other: Land use (deforestation)
#631,"Cross-sectoral governance of the climate, energy and water sectors: A ‘Rubik’s cube’ analysis of cross-sectoral co-ordination",Review; Perspective,Northern America,Subnational >100 km² (watershed),Climate change; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Hierarchical Governance; Market Governance; Other: meta-governance, coordinated governance, multi-modal governance, cross-sectoral governance",NA,Governments,Energy
#630,"Consumers, food supply chain and the nexus",Review; Perspective; Conceptual/theoretical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments; Social and Cultural Instruments,Private; Civil Society,Energy
#625,Domestic and international forest regime nexus in Cameroon: An assessment of the effectiveness of REDD+ policy design strategy in the context of the climate change regime,Empirical,Sub-Saharan Africa,National (whole country),Biodiversity; Climate change,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),NA,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms; Economic and Financial Instruments; Other: International Agreements and Initiatives,Civil Society; Academia; NGOs; Governments,Equity
#617,The soil–peace nexus: our common future,Perspective; Conceptual/theoretical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate change; Health; Food; Water,Other: Ensuring conditions to implement/promote nexus,NA,Legal and Regulatory Instruments; Social and Cultural Instruments,Civil Society; Governments,Equity; Poverty; Education; Other: Political security
#616,Research and development priorities in water security,Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Food; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,NA,NA,NA
#612,Sustainable development and integrated water resources management,Review; Perspective; Conceptual/theoretical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Health; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Network Governance,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms,Private; Civil Society; Multilateral Organisations; Governments,"Equity; Energy; Other: Gender, human-rights"
#609,Governance of transitions towards sustainable development – the water–energy–food nexus in Cyprus,Modelling,Western Asia,Subnational >100 km² (watershed),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Other: Reflexive Governance,Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,Private; Media; Funders; Civil Society; Academia; NGOs; Governments,Equity; Poverty; Education; Energy
#605,"China's water security: Current status, emerging challenges and future prospects",Review,Central Asia,National (whole country),Biodiversity; Climate change; Health; Food; Water,"Other: Elaborates on emerging challenges for achieving water security in China, including climate change, continuous socio-economic development, population growth and urbanization in particular, and the water-food-energy nexus. How do these three challenges play out affecting China's water security?",Hierarchical Governance,Legal and Regulatory Instruments; Other: Improved water management,Private; Civil Society; NGOs; Governments,Equity; Energy
#592,Forest-food nexus: A topical opportunity for human well-being and silviculture,Opinion,Southern Europe,National (whole country),Biodiversity; Climate change; Food,"Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Other: An integrated governance is thus needed for securing these multi-functional landscapes.,"Other: In particular, a supportive policy framework  needs  to  be  developed  that  considers  both the forestry and agriculture sectors in tandem.",Civil Society; Governments,Economic growth
#581,"Pacific connections for health, ecosystems and society: New approaches to the land-water-health nexus",Review,Not applicable (no specific spatial location),Multi-regional (multiple continents/geographic regions),Biodiversity; Health; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Network Governance,NA,Civil Society,Indigenous values and knowledge
#576,Cross-sectoral strategies in global sustainability governance: towards a nexus approach,Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate change; Health; Food; Water,Other: Operationalize the nexus concept for the arrangement of integrated agendas (Maybe challenge #1),NA,Legal and Regulatory Instruments,Private; Academia; Multilateral Organisations; Governments,Equity; Poverty; Economic growth; Employment; Education; Energy
#574,Understanding barriers to decision making in the UK energy-food-water nexus: The added value of interdisciplinary approaches,Empirical,Northern Europe,National (whole country),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring); Other: To explore the impact of climate and weather shocks across the energy-food-water nexus and barriers to related responses",NA,Legal and Regulatory Instruments,"Private; Academia; NGOs; Other: Practitioners (directly involved in implementation of climate-related solutions or decision making processes on the ground), policy communities (involved in formulating policies and decisions on climate change and nexus related issues)",Energy
#573,A conceptual framework for analyzing deltas as coupled social–ecological systems: an example from the Amazon River Delta,Perspective; Modelling,Latin America and the Caribbean,Local >1 km² to 100 km² (neighbourhood to municipality),Biodiversity; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Network Governance; Community Governance,Other: Framework proposed offering flexible structural configuration (which can reflect policy options),Civil Society; Regional Organisations; Governments,Poverty; Economic growth; Indigenous values and knowledge
#569,Ethiopia’s challenge to Egyptian hegemony in the Nile River Basin: The case of the grand Ethiopian renaissance dam,Conceptual/theoretical,Northern Africa; Sub-Saharan Africa,"Regional (multiple countries, whole continents)",Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,Other: none,Private; Civil Society; Regional Organisations; Multilateral Organisations; Governments,Economic growth; Employment; Energy
#568,"The politics of water payments and stakeholder participation in the Limpopo River Basin, Mozambique",Review; Empirical,Sub-Saharan Africa,Subnational >100 km² (watershed),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Community Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Academia; Regional Organisations; Governments; Other: Parastatal institutions,NA
#565,On the sustainability of inland fisheries: Finding a future for the forgotten,Perspective; Conceptual/theoretical,Micronesia; Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Food,"Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms,Private; Civil Society; Academia; IPLCs; Regional Organisations; Governments,Equity; Poverty; Energy
#563,Entangled systems at the energy-water-food nexus: Challenges and opportunities,Conceptual/theoretical,Northern America,National (whole country),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,NA,NA,Equity; Economic growth; Energy
#562,Conclusion: Rethinking the water-food-energy-climate security nexus,Review; Conceptual/theoretical; Opinion,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate change; Health; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,NA,Private; Civil Society; Academia; Governments,"Equity; Other: Land cover, Safety"
#561,Rethinking the water-food-energy-climate security nexus,Review; Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms; Social and Cultural Instruments,Academia; Governments,Education; Energy
#560,"Towards understanding the integrative approach of the water, energy and food nexus",Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Market Governance; Network Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Funders; Civil Society; Governments,Economic growth; Energy; Other: Trade
#559,Land-Water-Security Nexus: Changing Geopolitics in the Nile Basin Cooperative Framework Agreement,Review,Sub-Saharan Africa,"Regional (multiple countries, whole continents)",Biodiversity; Climate change; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments,Private; Civil Society; Regional Organisations; Governments,Energy
#558,The land-water-food nexus: Expanding the social-ecological system framework to link land and water governance,Empirical,Central Asia,National (whole country),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Community Governance,Economic and Financial Instruments; Social and Cultural Instruments,Private; NGOs; Governments,Other: Land
#556,Climate change and water science policy in management,Perspective; Conceptual/theoretical,Northern Africa,"Regional (multiple countries, whole continents)",Climate change; Water,"Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,NA,Academia,NA
#554,The health impacts of climate-related migration,Review; Perspective,Sub-Saharan Africa; Latin America and the Caribbean; Northern America; Southern Europe; Australia and New Zealand; Melanesia,Subnational >100 km² (watershed); National (whole country),Climate change; Health,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Network Governance,Rights-Based Instruments and Customary Norms,Civil Society; Governments,Poverty; Economic growth; Education
#550,Water markets and the food–energy–water nexus in Australia,Review,Australia and New Zealand,Subnational >100 km² (watershed),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Market Governance,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms,Private; Civil Society; Regional Organisations; Governments; Other: Financial actors,Energy
#544,Entangled systems at the energy-water-food nexus: Challenges and opportunities,Review; Conceptual/theoretical,Northern America,Subnational >100 km² (watershed),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Market Governance,NA,Private; Civil Society; Regional Organisations; Governments,Energy
#536,Urban Nexus: An Integrated Approach for the Implementation of the Sustainable Development Goals,Review; Conceptual/theoretical,Eastern Asia; South-eastern Asia; Southern Asia,Local >1 km² to 100 km² (neighbourhood to municipality),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Hierarchical Governance; Market Governance,Legal and Regulatory Instruments,Private; Civil Society; Academia; Multilateral Organisations; Governments,"Poverty; Economic growth; Other: ""Land"""
#534,"The water-energy-food nexus: Trade-offs, thresholds and transdisciplinary approaches to sustainable development",Conceptual/theoretical; Empirical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate change; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Hierarchical Governance,Legal and Regulatory Instruments,Multilateral Organisations; Governments,NA
#528,"Living with insecurity: Food security, resilience, and the world food programme (WFP)",Opinion,Sub-Saharan Africa,Multi-regional (multiple continents/geographic regions),Health; Food,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,NA,Private; Funders; IPLCs; Multilateral Organisations,Poverty; Other: Security
#525,The intersection of food security and biodiversity conservation: a review,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Food,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,NA,NA,NA
#524,"Unfolding livelihood aspects of the Water–Energy–Food Nexus in the Dampalit Watershed, Philippines",Empirical,South-eastern Asia,Subnational >100 km² (watershed),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Other: Integrated lake bassin approach,Legal and Regulatory Instruments,Private; Civil Society; NGOs; Governments,Energy
#523,"Regulating the water-energy-food nexus: Interdependencies, transaction costs and procedural justice",Empirical,Northern Europe,Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Community Governance; Other: decentralised governance,Legal and Regulatory Instruments; Social and Cultural Instruments,Private; NGOs; Regional Organisations; Governments,Equity; Energy; Other: procedural justice
#520,Closing the governance gaps in the water-energy-food nexus: Insights from integrative governance,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Other: Adaptive governance, integrative environmental governance",Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,NA,Energy
#517,Opportunities for knowledge co-production across the energy-food-water nexus: Making interdisciplinary approaches work for better climate decision making,Empirical,Northern Europe,National (whole country),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Other: Multi-level governance,NA,Private; Media; Funders; Academia; NGOs; Regional Organisations; Multilateral Organisations; Governments; Other: Policy makers and practitioners,Energy
#510,Examining the food–energy–water and conflict nexus,Opinion,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Other: Political instability,Other: multilateral governance/international cooperation,Legal and Regulatory Instruments,NA,Energy; Other: Political instability
#508,The water-energy-food nexus: An integration agenda and implications for urban governance,Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Academia; Governments,Energy
